mun.cod;Municipality;mun.pop
13101;SANTIAGO;435965
13102;CERRILLOS;68411
13103;CERRO NAVIA;110081
13104;CONCHALÍ;109514
13105;EL BOSQUE;131947
13106;ESTACIÓN CENTRAL;167378
13107;HUECHURABA;82562
13108;INDEPENDENCIA;115414
13109;LA CISTERNA;80143
13110;LA FLORIDA;317599
13111;LA GRANJA;95278
13112;LA PINTANA;138838
13113;LA REINA;79111
13114;LAS CONDES;271751
13115;LO BARNECHEA;89262
13116;LO ESPEJO;80387
13117;LO PRADO;82690
13118;MACUL;108880
13119;MAIPÚ;447642
13120;ÑUÑOA;208544
13121;PEDRO AGUIRRE CERDA;85743
13122;PEÑALOLÉN;203476
13123;PROVIDENCIA;135891
13124;PUDAHUEL;192016
13125;QUILICURA;187276
13126;QUINTA NORMAL;108964
13127;RECOLETA;150919
13128;RENCA;120635
13129;SAN JOAQUÍN;82960
13130;SAN MIGUEL;108131
13131;SAN RAMÓN;67325
13132;VITACURA;76461
13201;PUENTE ALTO;484658
13202;PIRQUE;23126
13203;SAN JOSÉ DE MAIPO;14377
13301;COLINA;126690
13302;LAMPA;89624
13303;TILTIL;16205
13401;SAN BERNARDO;247634
13402;BUIN;81745
13403;CALERA DE TANGO;21627
13404;PAINE;61887
13501;MELIPILLA;107490
13502;ALHUÉ;5751
13503;CURACAVÍ;27849
13504;MARÍA PINTO;11414
13505;SAN PEDRO;9147
13601;TALAGANTE;61508
13602;EL MONTE;29765
13603;ISLA DE MAIPO;29996
13604;PADRE HURTADO;55294
13605;PEÑAFLOR;75472
